Model,MSE,MAE,R2
LinearRegression,0.4317117374925065,0.49126098010380725,0.6636832679527922
DecisionTree,0.5256233602416213,0.4705697526423957,0.5905232231328834
RandomForest,0.24876836128983162,0.3324180764753377,0.8062017892038724
GradientBoosting,0.2770520147372664,0.3653254476989893,0.7841679525677718
SVR,0.2880530511322515,0.35979434780823544,0.7755978065926279
